t,xt,yt
2380.716,0,-0.0027533956822386432
2380.716,0,-0.0027533956822386432
2380.831,0,-0.002752295180637798
2380.933,0,-0.0027797031608676197
2381.036,0,-0.002799297812887679
2381.138,0,-0.002813069844000982
2381.255,0,-0.002843093541240905
2381.356,0,-0.0028625443564217483
2381.458,0,-0.0028877969503504643
2381.632,0,-0.0028998598269289757
2381.733,0,-0.0029404227647833454
2381.842,0,-0.0029596837710642813
2381.96,0,-0.002982323949455968
2382.057,0,-0.0030035440019324793
2382.171,0,-0.003022989186091274
2382.276,0,-0.0030443901323837772
2382.387,0,-0.0030627062927859345
2382.488,0,-0.003080036277336107
2382.587,0,-0.0031000319481675467
2382.702,0,-0.003122281057172494
2382.818,0,-0.0031418322623796516
2382.924,0,-0.003161958351652227
2383.027,0,-0.0031794903998894064
2383.132,0,-0.0032010966245956674
2383.264,0,-0.003227463556063627
2383.373,0,-0.003245456087691335
2383.475,0,-0.0032641243250108878
2383.597,0,-0.00328970818892449
2383.732,0,-0.0033044185643621216
2383.835,0,-0.003327227419913649
2383.938,0.3,-0.0033447291956817636
2384.04,0.3,0.020871983333507142
2384.157,0.3,0.05058392607026873
2384.261,0.3,0.07832518247411806
2384.373,0.3,0.11338139840616356
2384.496,0.3,0.14252155235457054
2384.597,0.3,0.17847847138333667
2384.705,0.3,0.2126957965151204
2384.807,0.3,0.24139425409520457
2384.91,0.3,0.2700228471088112
2385.01,0.3,0.2985762036911533
2385.111,0.3,0.32735840953587325
2385.22,0.3,0.3565799081328726
2385.327,0.3,0.3912749881117845
2385.428,0.3,0.42062101888600517
2385.529,0.3,0.4495223489289351
2385.635,0.3,0.4783413920520396
2385.746,0.3,0.5071815082522961
2385.85,0.3,0.5421879504452981
2385.952,0.3,0.5693341373120528
2386.055,0.3,0.5979341917885724
2386.157,0.3,0.6245904558700837
2386.267,0.3,0.6636623971172702
2386.367,0.3,0.6926053348151974
2386.471,0.3,0.7215654137625012
2386.588,0.3,0.7567075787908971
2386.69,0.3,0.7857685492166904
2386.794,0.3,0.8149079076324663
2386.895,0.3,0.8438686742849024
2386.997,0.3,0.8762812744601793
2387.101,0.3,0.904692573174803
2387.198,0.3,0.9337114605931226
2387.301,0.3,0.9595552543496831
2387.421,0.3,0.9948172030000896
2387.53,0.3,1.0300842756392325
2387.675,0.3,1.0713933161875604
2387.785,0.3,1.106854855089406
2387.888,0.3,1.136323912274476
