t,xt,yt
2394.642,0,-0.0005560891555849315
2394.642,0,-0.0005560891555849315
2394.79,0,-0.0005578251517689638
2394.892,0,-0.0005605830547039932
2394.992,0,-0.0005621672272141525
2395.1,0,-0.0005626695689918857
2395.203,0,-0.0005655350606684393
2395.31,0,-0.0005667937437874995
2395.411,0,-0.0005689106697660323
2395.518,0,-0.000569876184278391
2395.632,0,-0.000570593435079878
2395.753,0,-0.0005737219951206214
2395.877,0,-0.0005759464903586858
2395.98,0,-0.0005780150805649519
2396.084,0,-0.0005799440126284436
2396.185,0,-0.0005816321717314214
2396.291,0,-0.0005833477013489301
2396.392,0,-0.0005849378155869929
2396.493,0,-0.000586644955656819
2396.604,0,-0.0005883717498803125
2396.707,0,-0.000589945647674066
2396.81,0,-0.0005918677698849878
2396.911,0,-0.0005932329863223382
2397.012,0,-0.0005941294755990584
2397.114,0,-0.0005967404575829
2397.217,0,-0.0005984099471296961
2397.318,0,-0.0005999002002635015
2397.424,0,-0.0006001985931579623
2397.528,0,-0.0006022134865569588
2397.642,0,-0.0006043810276123527
2397.752,0.3,-0.0006055200174902806
2397.854,0.3,0.010952806808798886
2397.954,0.3,0.030834707943197592
2398.058,0.3,0.05152861863683674
2398.18,0.3,0.0773528672277381
2398.301,0.3,0.1041567730139864
2398.403,0.3,0.12473795607326191
2398.504,0.3,0.15865392995467748
2398.606,0.3,0.17559889183059965
2398.711,0.3,0.2122206077778015
2398.809,0.3,0.23984987231496732
2398.911,0.3,0.2680881885972814
2399.012,0.3,0.2961021777186573
2399.117,0.3,0.3206919025279878
2399.228,0.3,0.3560198673964472
2399.385,0.3,0.38767792921676875
2399.487,0.3,0.42613560305137027
2399.592,0.3,0.45326889469492
2399.697,0.3,0.4886067513963161
2399.804,0.3,0.5224327788725239
2399.93,0.3,0.5561998486116377
2400.034,0.3,0.5844439088540022
2400.135,0.3,0.6042779338067997
2400.244,0.3,0.6435957758221984
2400.34,0.3,0.6724250367581255
2400.469,0.3,0.7089904390416891
2400.574,0.3,0.7373445620729826
2400.679,0.3,0.7657111788602329
2400.782,0.3,0.7943424943942595
2400.908,0.3,0.8167312254733802
2401.028,0.3,0.8563905361975039
2401.141,0.3,0.8960692681806652
2401.253,0.3,0.9292492786966001
2401.354,0.3,0.9584530112465905
2401.479,0.3,0.9811183123046405
2401.58,0.3,1.0176664205272867
2401.698,0.3,1.0377796508044133
2401.822,0.3,1.0944207307496443
2401.938,0.3,1.1213326262000811
2402.04,0.3,1.1499556066173873
2402.153,0.3,1.1850845856460157
2402.259,0.3,1.202082972474729
2402.37,0.3,1.2473900023034936
2402.475,0.3,1.275700220269565
2402.576,0.3,1.3040209033665542
2402.716,0.3,1.330923445954102
2402.824,0.3,1.3776240154633057
2402.929,0.3,1.404226211727857
2403.035,0.3,1.4330790485037346
2403.138,0.3,1.4624984290541123
2403.257,0.3,1.4794710443184298
2403.388,0.3,1.519079137063418
2403.495,0.3,1.557545708838151
2403.604,0.3,1.594025907568891
2403.706,0.3,1.622020427244929
2403.819,0.3,1.654829437355399
2403.921,0.3,1.6831082210901438
2404.021,0.3,1.7113847902754127
2404.122,0.3,1.7340070140099788
2404.226,0.3,1.7735955104268868
2404.329,0.3,1.8007317003778456
2404.437,0.3,1.830142315572584
2404.545,0.3,1.8640739837287827
2404.655,0.3,1.89093741178209
2404.756,0.3,1.916948641292421
2404.876,0.3,1.9375907897468536
2404.999,0.3,1.9884935225476552
2405.103,0.3,2.016488711667927
2405.207,0.3,2.0416532598694945
2405.321,0.3,2.0676721809158765
2405.425,0.3,2.1072170440845777
2405.529,0.3,2.137716125988986
2405.641,0.3,2.163476311829388
2405.744,0.3,2.197182593136652
2405.849,0.3,2.2308844765647255
2405.953,0.3,2.259490727563361
2406.055,0.3,2.285815995969844
2406.159,0.3,2.3160916884910168
2406.264,0.3,2.350030377833831
2406.365,0.3,2.371528552534952
2406.468,0.3,2.4029143800293675
2406.574,0.3,2.434861370955406
2406.682,0.3,2.4630298613897796
2406.782,0.3,2.4961577138708426
2406.884,0.3,2.5244471244760445
2407.001,0.3,2.5524534639893117
2407.095,0.3,2.577916199183503
2407.204,0.3,2.6155152155974197
2407.301,0.3,2.63796647050805
2407.41,0.3,2.6717249781029935
2407.51,0.3,2.700034826856509
2407.672,0.3,2.7283374144835597
2407.784,0.3,2.7566277723591943
2407.894,0.3,2.8019077613155523
2407.996,0.3,2.8324986360135815
